Mercados y Plazas Comerciales,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Nombre,Ubicación,Tipo,Descripción Tipo,Clase,Descripción Clase
333,Rinconada de la Joya,6,Inexistente,,99,NINGUNO,99,NINGUNO
334,Rinconada las Palmas,3,Valdepeñas,Av. Valdepeñas # 3303 y Federalistas,3,Plaza Comercial,,Desconocido
336,Rinconada de los Novelistas,5A,Plaza Sanzio,Rafael Sanzio y Oscar Wilde,3,Plaza Comercial,1,Público
337,Río Blanco,RN,- Inexistente -,,99,NINGUNO,99,NINGUNO
338,Roberto Orozco,RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
339,"Robles, Los",3, - Inexistente -,,99,NINGUNO,99,NINGUNO
340,"Rodeo, El",RS,Inexistente,,99,NINGUNO,99,NINGUNO
341,Royal Country,5B,Inexistente,,99,NINGUNO,99,NINGUNO
342,San Bernardo,5B,Inexistente,,99,NINGUNO,99,NINGUNO
343,San Esteban,RN,Inexistente,,99,NINGUNO,99,NINGUNO
345,San Isidro Ejidal,1A,San Isidro Ejidal,Avila Camacho Nº 207,1,Mercado,1,Público
346,San Isidro Poblado,RN,Inexistente,,99,NINGUNO,99,NINGUNO
349,San Juan de Ocotán,4,Palma Real,Av. Base Áerea N° 5180,3,Plaza Comercial,2,Privado
349,San Juan de Ocotán,4,Banderas,"Av. Base Aerea, frente a Industrias Jaguar.",3,Plaza Comercial,2,Privado
